row,sku,product,differs_in,filemaker_price,quickbooks_price,shopify_price,spread,flag,CORRECT_SOURCE,CORRECT_PRICE,NOTES,fm_recordId,qbo_id,shopify_variantId
1,,"Petzl, Axis 11mm Low Stretch Kernmantle Rope; Black; 600'",QBO + Shopify,794.95,1.34,1.34,793.61,LIKELY UNIT ERROR - check before pricing,,,,17530,1184,gid://shopify/ProductVariant/46046377345241
2,,"Atomik Climbing Hold - Elementary Adventure Package 2, bolt on ",Shopify,1410.00,,625.00,785.00,,,,,17020,,gid://shopify/ProductVariant/16397984202842
3,,"Petzl, Axis 11mm Low Stretch Kernmantle Rope; White; 600'",QBO + Shopify,759.95,1.27,1.27,758.68,LIKELY UNIT ERROR - check before pricing,,,,17531,839,gid://shopify/ProductVariant/46046377279705
4,500-3413-90-00000-2,Unity Dynamic Rope Blue 9MM - 660ft,QBO + Shopify,309.95,773.85,773.85,463.90,,,,,17397,424,gid://shopify/ProductVariant/16612242522202
5,2331,Vertical Playpen Rope Ladder Access,QBO,227.30,377.07,,149.77,,,,,17646,1282,
6,1083,"Cypher, 1"" Tubular Webbing - 300' Spool / No Preference",Shopify,139.95,,0.49,139.46,LIKELY UNIT ERROR - check before pricing,,,,17423,,gid://shopify/ProductVariant/46582101835993
7,2172,Rescue Bag - Bag only,QBO,0.00,95.75,,95.75,LIKELY UNIT ERROR - check before pricing,,,,17463,1180,
8,2024,Custom High 5 Tarp Assembly,QBO,836.84,770.00,,66.84,,,,,17263,500,
9,1316,Small Program Bag,QBO + Shopify,269.19,335.00,335.00,65.81,,,,,17180,491,gid://shopify/ProductVariant/17982157324378
10,669-1604-20L,Havens Grip with Latch,QBO,150.00,205.50,,55.50,,,,,16576,815,
11,661-47011,"Irwin Pole Auger Bit 11/16X29""",QBO,71.35,126.53,,55.18,,,,,16526,818,
12,669-1604-20,Havens Grip,QBO,130.00,178.72,,48.72,,,,,16575,814,
13,Cord 176-SHOCK0500-0100,Nylon Shock Cord 1/2X100',QBO,110.60,70.40,,40.20,,,,,16476,446,
14,2018,High 5 Mat Assembly,QBO,793.04,760.00,,33.04,,,,,17348,571,
15,1136,Keypunch Kit,Shopify,125.00,,100.00,25.00,,,,,17098,,gid://shopify/ProductVariant/16398007959642
16,500-7300-20-00600,Multiline II 3-Strand Rope 5/8X600',QBO + Shopify,683.45,660.20,660.20,23.25,,,,,16540,641,gid://shopify/ProductVariant/16611866902618
17,Cord 176-SHOCK0187-0300,Nylon Shock Cord 3/16X300',QBO + Shopify,61.10,38.85,38.85,22.25,,,,,16475,642,gid://shopify/ProductVariant/16626599886938
18,Twirlies,Twirlies,QBO,2.05,24.00,,21.95,LIKELY UNIT ERROR - check before pricing,,,,17105,102,
19,527-27000,Elk River Zorber Eye & Eye,QBO,55.10,33.91,,21.19,,,,,16398,827,
20,,Petzl Am'd Aluminum Carabiner,QBO,18.95,0.00,,18.95,LIKELY UNIT ERROR - check before pricing,,,,17373,1105,
21,Cord 176-SHOCK0187-0150,Nylon Shock Cord 3/16X150',QBO + Shopify,33.60,21.40,21.40,12.20,,,,,16474,445,gid://shopify/ProductVariant/16626599854170
22,1158,"Maillon Rapide, Oval Quick Link 5/8""",Shopify,32.00,,20.40,11.60,,,,,16304,,gid://shopify/ProductVariant/48861209559257
